tick,time,gap_ticks,unlock
20,20s,20,successor
40,40s,20,pipe_0
565,9m 25s,525,addition
567,9m 27s,2,comp_2
599,9m 59s,32,subtraction
608,10m 08s,9,comp_3
831,13m 51s,223,multiplication
622,10m 22s,-209,comp_4
835,13m 55s,213,pipe_2
1191,19m 51s,356,division
1207,20m 07s,16,negation
861,14m 21s,-346,comp_5
1253,20m 53s,392,pipe_3
952,15m 52s,-301,comp_6
1325,22m 05s,373,pipe_4
1099,18m 19s,-226,comp_7
1666,27m 46s,567,exponentiation
1810,30m 10s,144,pipe_5
1913,31m 53s,103,inversion
1999,33m 19s,86,square-root
2126,35m 26s,127,comp_8
2588,43m 08s,462,pipe_6
3009,50m 09s,421,comp_9
3418,56m 58s,409,pipe_7
3999,1h 06m 39s,581,comp_10
4818,1h 20m 18s,819,pipe_8
15046,4h 10m 46s,10228,tetration
15766,4h 22m 46s,720,comp_11
15999,4h 26m 39s,233,pipe_9
20310,5h 38m 30s,4311,comp_14
27833,7h 43m 53s,7523,comp_17
38568,10h 42m 48s,10735,comp_20
42484,11h 48m 04s,3916,pentation
